游戏应用ID,名称,发布日期,价格,最高同时在线人数,好评数,差评数,推荐数,支持Windows,支持Mac,支持Linux,游戏类别,玩法类型,游戏标签,评论总数,好评率,适用年龄,支持语言,媒体评价,开发商,发行商,展示图片链接,官方网站,支持邮箱,宣传视频链接
435490,Pierhead Arcade,2016/9/21,9.99,164,241,32,262,1,0,0,单人游戏，多人，玩家对战，在线玩家对战，合作，在线合作，Steam 成就，跟踪控制器支持，仅限 VR，Steam 集换式卡牌，VR 支持，SteamVR 收藏品，Steam 云，Steam 排行榜，家庭共享,休闲，独立，模拟,模拟，独立，休闲，VR，沙盒，抢先体验，街机,273,88.28%,0,['英语'],“HTC Vive 的一些最有趣的应用程序现在令人印象深刻，因为它们感觉很真实。”-reality-games-motion-controllers-htc-vive-steam “想象一下我们每个季度能节省多少钱？！”-included-pierhead-arcade-vr/ “Mechabit 的 Pierhead Arcade 是一座拥有一些有史以来最好的实体街机游戏的建筑！”,Mechabit 有限公司,Mechabit 有限公司,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/435490/header.jpg?t=1725082371,,support@mechabit.co.uk,"http://video.akamai.steamstatic.com/store_trailers/256671155/movie_max.mp4?t=1474512235,http://video.akamai.steamstatic.com/store_trailers/256676159/movie_max.mp4?t=1481375875"
575570,ICED,2017/5/15,9.99,163,119,50,135,1,0,0,单人游戏，Steam 成就，Steam 集换式卡牌，Steam 云，Steam 排行榜，家庭分享,动作，冒险，独立，模拟,模拟，冒险，独立，动作，生存，血腥，暴力，多人，恐怖,169,70.41%,0,['英语'， '俄语'， '波兰语'， '土耳其语'， '日语'],“相当不错的游戏，具有生存类型的新想法，竖起大拇指 不错的生存氛围 环境噪音 酷炫逼真的细节 有趣的噩梦 游戏抓住了一些细节，比如冰盖破裂的声音和暴风雪的声音，再加上相当不错的视觉效果和逼真的场景，这款游戏玩起来非常有趣。”天鹅绒小鹿,AneaGames 公司,AneaGames 公司,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/575570/header.jpg?t=1667026673,https://vk.com/pc_game_iced_official,anea.duo.dew@gmail.com,"http://video.akamai.steamstatic.com/store_trailers/256684748/movie_max.mp4?t=1494463465,http://video.akamai.steamstatic.com/store_trailers/256683298/movie_max.mp4?t=1494463473"
613900,另一个现实博物馆,2020/2/26,0,161,370,34,127,1,0,0,单人游戏，多人，合作，在线合作，跨平台多人游戏，跟踪控制器支持，仅限 VR,休闲，模拟,模拟，休闲，VR，多人在线，免费开玩,404,91.58%,0,['英语'],“我从来没有发现自己像看每个房间一样多次说'哇'，听着我的声音似乎从博物馆的墙壁上反弹回来的微妙回声，飞翔，像《爱丽丝梦游仙境》一样喝一杯饮料调整自己的大小，并为这个不可能的地方的规模和展出的深思熟虑、互动和反应灵敏的作品而喘息”UploadVR “MOR 是一种体验， 不是游戏或演示。它的设计就像一个现实世界的艺术博物馆，为世界上一些最好的 VR 艺术家提供了一个展示他们在过去两年中制作的所有令人惊叹的 VR 艺术的场所。我毫无期望地进入 MOR，出来时我的想法完全被震撼了。每个对 VR 感到好奇的人都需要尝试一下。福布斯：“然后我又离开了。但这只是因为它是一座如此美妙的建筑，充满了多维的疯狂和通往不可能的风景的门户。石头、纸、霰弹枪,MOR 博物馆公司,MOR 博物馆公司,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/613900/header.jpg?t=1638911779,https://museumor.com/,editor@museumor.com,http://video.akamai.steamstatic.com/store_trailers/256776255/movie_max.mp4?t=1582741735
268360,Krautscape,2016/2/24,6.99,161,158,79,158,1,1,1,单人游戏，多人模式，共享/分屏，跨平台多人模式，Steam 成就，完全控制器支持，Steam 云，统计，Steam 排行榜，远程同乐，家庭共享,独立，竞速,竞速，独立，多人，分屏，本地多人,237,66.67%,0,['英语'],“虽然赛车显然是游戏的重点，但可以自由地构建任何你想要的东西非常有趣。”精灵和骰子,马里奥·冯·里肯巴赫，Playables,午夜之城，Majesco Entertainment,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/268360/header.jpg?t=1572436580,http://www.krautscape.net/,support@krautscape.net,http://video.akamai.steamstatic.com/store_trailers/2031030/movie_max.mp4?t=1447360512
1147940,3dSen PC,2020/6/19,9.99,161,382,35,391,1,1,1,单人游戏，多人游戏，玩家对战，共享/分屏玩家对战，合作，共享/分屏合作，共享/分屏，部分控制器支持，一起远程游戏，家庭共享,动作，冒险，休闲，角色扮演，抢先体验,动作，2.5D，独立，抢先体验，冒险，角色扮演，休闲，经典，好评原声音轨，复古，街机，软件，老式，像素图形，单人，平台游戏，重制版,417,91.61%,0,['英语'],“Amazing Emulator 将 2D NES 游戏变成全 3D 世界” Kotaku “这个虚拟控制台将老式像素推动者 - 无论是现代自制复古游戏还是合法获得的马里奥 - 变成可爱的、完全可玩的 3D 立体模型” Rock Paper Shotgun “当我开始玩游戏时，我充满了无法用语言表达的情感。”IGN 日本,Geod 工作室,Geod 工作室,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1147940/header.jpg?t=1720846719,http://www.geodstudio.net/,vutruc80@gmail.com,"http://video.akamai.steamstatic.com/store_trailers/256766774/movie_max.mp4?t=1573222447,http://video.akamai.steamstatic.com/store_trailers/256759817/movie_max.mp4?t=1573222458"
648100,狂怒循环,2017/8/23,29.99,161,5985,219,5878,1,0,0,单人游戏，部分控制器支持，家庭共享,冒险，独立,视觉小说，冒险，独立，悬疑，心理恐怖，故事丰富，心理，血腥，氛围，单人，暴力，推理，动漫，恐怖，色情内容，多结局，时空旅行,6204,96.47%,0,['日语'， '英语'],“让视觉小说游戏变得可怕并不是一件容易的事，但 Raging Loop 凭借浓厚的氛围和出色的声音设计实现了这一目标。”GameReactor “恐怖、惊悚、喜剧、刺激和神秘的精彩结合，结合成一个完美的包装，我从来不想结束。”GamePitt “如果你在看一部非常强调寿命和可重玩性的视觉小说的恐怖表演，那么 Raging Loop 就是你的不二之选。”VGAlmanac,KEMCO,KEMCO,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/648100/header.jpg?t=1667179010,http://www.kemco.jp/sp/games/rl/ja/pc/index.html,keitai-info@kemco.jp,"http://video.akamai.steamstatic.com/store_trailers/256761184/movie_max.mp4?t=1575530245,http://video.akamai.steamstatic.com/store_trailers/256768812/movie_max.mp4?t=1575530255"
801750,Hot Shot Burn,2020/1/17,3.74,160,173,16,136,1,0,0,多人模式，玩家对战，在线玩家对战，共享/分屏玩家对战，共享/分屏，Steam成就，部分控制器支持，Steam云，一起远程游戏，家庭共享,动作，独立，体育,4 人本地，独立，动作，本地多人，多人，街机，搞笑，竞技场射击，卡通风格，丰富多彩，本地合作，合作，体育，好评原声带，2D，快节奏，俯视射击，竞技，控制器，休闲,189,91.53%,0,['英语'， '法语'， '德语'， '西班牙语 - 西班牙'， '葡萄牙语 - 巴西'， '波兰语'， '俄语'， '简体中文'],“很高兴有一天我可以把我的朋友和家人聚在一起，用一个膨胀的鱼怪炸毁他们，一直说话。”Kotaku “这不是一个关于严格的竞技游戏的游戏，技术高于一切。这是关于愚蠢、荒谬的杀戮、大规模的橡皮筋以及与朋友一起玩乐——这对我来说很好。PC Invasion “我在 PAX West 的经历让这款游戏牢牢地引起了我的注意，因为它是我朋友来访时想要突破的派对游戏之一。”任天堂世界报告,Artifex 世界,Artifex 世界,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/801750/header.jpg?t=1579248263,https://hsb.tv,steam.support@artifexmundi.com,http://video.akamai.steamstatic.com/store_trailers/256759284/movie_max.mp4?t=1565972647
552880,星滴,2019/2/14,5.99,160,230,31,230,1,0,0,单人游戏，Steam 成就，完全控制器支持，Steam 集换式卡牌，提供字幕，Steam 云，家庭共享,冒险，休闲，独立,冒险，独立，休闲，太空，剧情丰富，女性主角，科幻，探索，氛围，第一人称，悬疑，单人，步行模拟器，欢乐，阖家，第一人称射击，电影式，模拟，故事架构丰富，情感,261,88.12%,0,['英语'],“对话是一个独特的亮点，使 STARDROP 成为一种独一无二的体验。”GameGrin “Stardrop 是一款流畅的、故事驱动的第一人称冒险游戏，故事发生在广阔的太空中。”Alpha Beta 玩家,乔尔·维瑟,乔尔·维瑟,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/552880/header.jpg?t=1651755513,https://jourev.wixsite.com/teamv,joure.v@proton.me,http://video.akamai.steamstatic.com/store_trailers/256732965/movie_max.mp4?t=1540238654
1252600,另一个伊甸,2021/3/30,0,158,1204,539,1043,1,0,0,单人游戏，Steam 成就，应用内购买,角色扮演游戏，免费开玩,免费开玩，日系角色扮演，角色扮演，单人，时空旅行，奇幻，2.5D，剧情丰富，动漫，回合制，复古，猫，科幻，冒险，团队角色扮演，回合制战术，可爱，写得很好，回合制战斗，原声音轨,1743,69.08%,0,['英语'， '繁体中文'， '日语'， '韩语'],“...对经典 JRPG 策略的怀旧冒险，结合精美的艺术和精心编写的角色，所有这些都由引人入胜且引人入胜的叙事驱动故事驱动。4.5/5 – TheGamer “......只是渗出质量。...艺术绝对令人惊叹，音乐就像 JRPG 的舒适食物。4.5/5 – Gamezebo “......故事似乎确实是重点。小拓,WFS 公司,WFS 公司,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1252600/header_alt_assets_2.jpg?t=1724292618,https://en.another-eden.jp/,,"http://video.akamai.steamstatic.com/store_trailers/257048156/movie_max.mp4?t=1724292608,http://video.akamai.steamstatic.com/store_trailers/256825630/movie_max.mp4?t=1615788236"
903730,AXIOM SOCCER,2019/4/11,0,156,263,130,175,1,0,0,单人游戏，多人，玩家对战，在线玩家对战，共享/分屏玩家对战，合作，在线合作，共享/分屏合作，共享/分屏，部分控制器支持，远程一起玩,动作，休闲，免费开玩，独立，竞速，体育，抢先体验,多人，射击，体育，免费开玩，抢先体验，动作，独立，团队导向，竞技场射击，竞技，竞技，第三人称，电子竞技，足球，玩家对战，合作，在线合作，第三人称射击，飞行，竞速，快节奏,393,66.92%,0,['英语'],“观众是任何健康电子竞技的命脉......Axiom Soccer 希望更进一步。Polygon “Axiom Soccer 可以将火箭联盟变成一个子类型。”PC Gamer “这是火箭联盟，对吧？嗯，还有更多的事情要做......我玩得很开心。欧洲玩家,Earthbound Games 有限公司,Earthbound Games 有限公司,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/903730/header.jpg?t=1626268262,https://www.axiomsoccer.com,support@earthboundgames.com,"http://video.akamai.steamstatic.com/store_trailers/256753585/movie_max.mp4?t=1560762105,http://video.akamai.steamstatic.com/store_trailers/256747643/movie_max.mp4?t=1554902582"
324800,影武者2,2016/10/13,29.99,154,23083,3366,22731,1,0,0,单人游戏，多人，合作，在线合作，Steam 成就，完全控制器支持，Steam 集换式卡牌，Steam 云，电视遥控游戏，家庭共享,动作， 冒险,动作，血腥，刷宝射击，第一人称射击，合作，多人，忍者，砍杀，射击，剑术，第一人称，喜剧，开放世界，恶魔，刷宝，搞笑，单人，冒险，跑酷，模因,26449,87.27%,17,['英语'， '法语'， '德语'， '西班牙语-西班牙'， '波兰语'， '葡萄牙语-巴西'， '俄语'， '简体中文'],“《影子武士 2》是一款充满活力的射击战利品游戏，拥有出色的近战和远程战斗、合作模式和一堆肮脏的笑话。”8.6/10 – IGN “你在《影子武士 2》的战斗中投入的越多，你得到的回报就越多。”8/10 – Gamespot “《影子武士 2》是一场血腥的胜利，它携带的武器比军队还多”石头纸霰弹枪,飞野猪,Devolver 数字,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/324800/header.jpg?t=1710763132,http://www.shadowwarrior.com,shadowwarrior2-support@flyingwildhog.com,"http://video.akamai.steamstatic.com/store_trailers/256674035/movie_max.mp4?t=1478295767,http://video.akamai.steamstatic.com/store_trailers/256666983/movie_max.mp4?t=1476536928,http://video.akamai.steamstatic.com/store_trailers/2040064/movie_max.mp4?t=1447376332"
295730,Sweezy Gunner,2014/5/6,3.99,153,197,42,99,1,0,0,单人游戏，Steam 成就，Steam 集换式卡牌，家庭共享,动作，独立,动作，独立，弹幕射击，太空，射击，清版射击,239,82.43%,0,['英语'],“这是双摇杆射击的塞尔达传说。您将穿越主世界，清除地牢，找到心脏容器，并解锁新的能力和工具以进一步进步。4/5 – Steamfirst.com,风胡子,风胡子,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/295730/header.jpg?t=1447361504,www.windybeard.com,windybeardgames@yahoo.co.uk,http://video.akamai.steamstatic.com/store_trailers/2032036/movie_max.mp4?t=1447361576
413730,Krosmaster Arena,2015/11/9,0,153,185,107,45,1,0,1,单人游戏，跨平台多人模式，Steam 成就，Steam 集换式卡牌，家庭共享,免费开玩，策略,免费开玩，策略，角色扮演，多人，棋盘游戏，动漫,292,63.36%,0,['英语'， '法语'， '意大利语'， '德语'， '西班牙语 - 西班牙'， '日语'， '葡萄牙语 - 巴西'],“在玩 Krosmaster Arena 之前，我对 Wakfu 或 Dofus 并不熟悉，但这个世界和艺术给我留下了深刻的印象，以至于我在几天前安装了 Wakfu。公平地说，他们让我着迷了。Penny Arcade “Krosmaster 在一个网格板上玩，上面有漂亮的动漫风格微缩模型。角色多样而奇幻，包括可爱的死神、豆腐女王和过于好斗的绵羊之王（如果你熟悉 MMO 策略游戏 Dofus 或 Wakfu，你会看到熟悉的面孔）。游戏告密者“在强调 PvP（但也具有非常强大的 PvE）和收集小雕像之间，这款游戏应该非常适合喜欢 CCG 的人。”触摸街机,Ankama Studio（安卡玛工作室）,安卡马游戏,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/329790/header.jpg?t=1546453699,http://www.krosmaster.com,,http://video.akamai.steamstatic.com/store_trailers/256657134/movie_max.mp4?t=1447378395
337040,Deadnaut,2014/12/8,4.99,152,100,54,122,1,1,1,单人游戏，Steam 成就，Steam 集换式卡牌，家庭共享,独立，角色扮演，策略,动作类 Rogue，太空，探索，沉浸式模拟，生存恐怖，心理恐怖，恐怖，科幻，生存，策略，永久死亡，实时战术，程序生成，困难，类 Rogue，角色自定义，即时战略，氛围，管理，黑客攻击,154,64.94%,0,['英语'],“我直接切入正题。Deadnaut 是我的年度最佳游戏。Screwfly Studios 对 Zafehouse Diaries 的科幻生存续作是一部新鲜、黑暗且引人入胜的小队战略游戏，它借鉴了 roguelikes 和《异形》一样多，无疑是我在 2014 年玩过的最令人兴奋的游戏。10 – Coffee Break Gaming“Screwfly Studios 创造了一些既易于上手和玩又充满多种不同选择的东西，您可能会发现自己和我一样，对游戏包含的所有可能性绝对着迷。”Destructoid “在某种程度上，是的，Deadnaut 捕捉到了 Dallas、Kane 和 Lambert 在 LV-426 上探索废弃物的感觉。你被困在一个安全的地方，传递命令，看着他们的生命迹象颤抖并趋于平缓。在另一个层面上，Deadnaut 是 Viscera Cleanup Detail 直接播放的。这是一款关于可怕事件后果的游戏，但在这里，后果有自己的牙齿和爪子。岩石、布、霰弹枪,Screwfly 工作室,Screwfly 工作室,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/337040/header.jpg?t=1707437853,http://www.deadnaut.com,support@screwflystudios.com,http://video.akamai.steamstatic.com/store_trailers/2036011/movie_max.mp4?t=1447365740
425670,Seraph,2016/9/20,12.99,151,435,115,372,1,0,0,单人游戏，Steam 成就，完全控制器支持，Steam 集换式卡牌，Steam 云，Steam 排行榜，电视远程游玩，家庭共享,行动,动作，女性主角，平台游戏，横向滚屏，2D，射击，好评原声音轨，独立，银河战士恶魔城,550,79.09%,0,['英语'， '法语'， '意大利语'， '德语'， '西班牙语 - 西班牙'],“Seraph 不仅是一款出色的游戏，而且是一款将引人入胜的游戏玩法与优雅布置的世界环境融为一体的胜利游戏。”9/10 – 铁杆玩家“当你在关卡中穿梭时，这是非常疯狂的事情，前一刻让你穿过走廊，下一刻又把你扔进开阔的竞技场。”Eurogamer “Doom 可能是 2016 年最好的'消灭每一个移动的恶魔'射击游戏，但我想说 Seraph 是不是很遥远的第二名。”游戏雷达,恐惧位,恐惧位,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/425670/header.jpg?t=1482427063,http://www.seraph-game.com,support@dreadbit.com,http://video.akamai.steamstatic.com/store_trailers/256662112/movie_max.mp4?t=1471473593
1229240,锁链回声,2022/12/8,24.99,146,5518,576,5775,1,1,1,单人游戏，Steam 成就，完全控制器支持，Steam 集换式卡牌，家庭共享,独立，角色扮演,角色扮演，独立，像素图形，回合制，日系角色扮演，回合制战斗，复古，探索，2D，剧情丰富，机甲，团队角色扮演，奇幻，动漫，开放世界，冒险，好评原声音轨，单人游戏，角色自定义,6094,90.55%,0,['英语'， '法语'， '德语'， '韩语'， '日语'， '简体中文'],“简而言之，Chained Echoes 是一封写给 SNES JRPG 经典的发自内心的情书，它拥有令人难以置信的角色阵容、令人惊叹的像素艺术、出色的配乐和对细节无可挑剔的关注。”9/10 – Gaming Nexus “回合制角色扮演游戏的新杰作” 9.5/10 – 嘈杂的像素 “Chained Echoes 简直是我很长一段时间以来玩过的最好的 RPG。”10/10 – 上帝是个极客,马蒂亚斯·琳达,Deck13，WhisperGames,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1229240/header.jpg?t=1688714230,http://www.chainedechoes.com/,arkheiral@chainedechoes.com,"http://video.akamai.steamstatic.com/store_trailers/256922474/movie_max.mp4?t=1671720204,http://video.akamai.steamstatic.com/store_trailers/256919946/movie_max.mp4?t=1670503919,http://video.akamai.steamstatic.com/store_trailers/256915003/movie_max.mp4?t=1667919741,http://video.akamai.steamstatic.com/store_trailers/256883489/movie_max.mp4?t=1650628872"
332530,短鲭鱼突袭,2015/8/25,4.99,145,114,55,16,1,1,1,单人游戏，多人，共享/分屏，Steam 成就，完全控制器支持，Steam 集换式卡牌，Steam 云，Steam 排行榜，一起远程游玩，家庭共享,动作，独立,独立，动作，清版射击，4 人本地，本地合作，可爱，轻度 Rogue，像素图形,169,67.46%,0,['英语'],“开发商 Neon Deity Games 对视频游戏平衡的强烈拒绝几乎可以称为前卫，但 Shutshimi 对高分的强调让人可以与 Galaga、Xevious、TwinBee 和 Fantasy Zone 等出色的街机游戏进行比较。”高度好评 – Slant 杂志 “这是一个充满欢笑和疯狂乐趣的无尽宝库......”高度积极 – IndieGames“Shutshimi 不是试图将自己归入特定的类型类别，而是旨在使现有的类型适合它。这是一个大胆的声明，但游戏开发者能够沉着冷静地完成它。A- – 游戏时代,霓虹神游戏,选择条款,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/332530/header.jpg?t=1655322038,http://shutshimi.com,,http://video.akamai.steamstatic.com/store_trailers/256655491/movie_max.mp4?t=1447377476
358070,地语,2015/4/27,4.99,145,181,20,146,1,1,0,单人游戏，Steam 成就，Steam 集换式卡牌，家庭共享,独立，模拟,模拟，独立，自然，放松，沙盒，2D，像素图形，单人，管理，上帝游戏,201,90.05%,0,['英语'],“在一个连接所有生命形式的复杂系统中，Hornby 展示了一种关于生存能力不稳定短暂性的冥想体验，为玩家提供了一个可以被动接受的水族馆，如果幻想袭击了他们，可以进行干预”Re：Bind “EarthTongue 是一种轻松的互动体验，让玩家可以照顾一个由不同类型的真菌和虫子组成的小型生态系统” IndieGameMag “这是一款可爱的玻璃容器模拟游戏，增加了虫子和真菌，并且Weather Effects 的 Weather Effects 中，您可以观察和玩 Alien World 上美丽的小奇幻生态系统。这一切都非常轻松和聪明。IndieGames,埃里克·霍恩比,埃里赫米特,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/358070/header.jpg?t=1562771118,http://erichermit.itch.io/earth-tongue,hornbyeric@gmail.com,"http://video.akamai.steamstatic.com/store_trailers/256662242/movie_max.mp4?t=1459098851,http://video.akamai.steamstatic.com/store_trailers/2038461/movie_max.mp4?t=1447372612"
398450,Absent,2015/8/31,0,144,307,70,189,1,0,0,单人游戏,冒险，免费开玩,免费开玩，冒险，恐怖，指向点击，喜剧，搞笑，单人,377,81.43%,0,['英语'],“精彩的游戏！配音很到位，情节有一个很棒的故事情节。难度和长度的非常好的匹配。肯定期待这位创作者的更多项目！Mandle （AGS'er） “这是一款全面的游戏，具有出色的视觉效果，为故事情节定下了基调，一些出色的配音和一些简洁的谜题。你还能要求什么呢？Andy （AGS'er） “这款游戏是一项了不起的成就，在许多方面都超过了一些商业替代品。”冒险游戏玩家,FN型,FN型,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/398450/header.jpg?t=1447377744,,james@fentonfilms.co.uk,http://video.akamai.steamstatic.com/store_trailers/256655972/movie_max.mp4?t=1447377745
230150,奇异怪物,2013/3/18,9.99,144,254,100,147,1,1,0,单人游戏，Steam 成就，Steam 云，包括关卡编辑器，家庭共享,动作，冒险，休闲，独立，模拟,建造，物理，动作，平台解谜，模拟，2D，可爱，超现实，自然，平台游戏，解谜，角色自定义，手绘，2D平台游戏，关卡编辑器，美丽，外星人，单人，环境，独立,354,71.75%,0,['英语'],“如果你曾经觉得弗兰肯斯坦博士的职业道路适合你，那么 Incredipede 会让你连续几个小时高兴得疯狂大笑” Indie Game Magazine “令人不安而美丽” PC Gamer “一款基于物理的游戏” Total Biscuit,Colin Northway 与 Thomas Shahan 的艺术,北威游戏,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230150/header.jpg?t=1693703082,http://www.incredipede.com,support@Incredipede.com,http://video.akamai.steamstatic.com/store_trailers/2028473/movie_max.mp4?t=1447357643
482400,系统震撼,2023/5/30,39.99,144,8526,768,7328,1,0,0,单人游戏，Steam 成就，部分控制器支持，Steam 云，家庭共享,动作， 冒险,动作，冒险，沉浸式模拟，赛博朋克，科幻，重制，恐怖，第一人称射击，氛围，第一人称，单人，生存恐怖，太空，射击，血腥，剧情丰富，暴力，角色扮演，Kickstarter，生存,9294,91.74%,0,['英语'， '法语'， '意大利语'， '德语'， '西班牙语 - 西班牙'， '日语'， '韩语'， '波兰语'， '俄语'， '简体中文'， '繁体中文'， '土耳其语'， '葡萄牙语 - 巴西'],“卓越 - 卓越的标志。”9/10 – Destructoid “神奇：系统奇兵巧妙地将经典的沉浸式射击游戏回归到堆顶的位置，更新后几乎任何人都可以享受。”9/10 – IGN “SHO-damn good” RPS 最佳最佳 - 奖项 – RockPaperShotgun,Nightdive Studios（夜潜工作室）,至尊物质,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/482400/header.jpg?t=1712909914,http://www.systemshock.com,support@nightdivestudios.com,"http://video.akamai.steamstatic.com/store_trailers/256953804/movie_max.mp4?t=1687179431,http://video.akamai.steamstatic.com/store_trailers/256949247/movie_max.mp4?t=1687177492,http://video.akamai.steamstatic.com/store_trailers/256822622/movie_max.mp4?t=1655123474,http://video.akamai.steamstatic.com/store_trailers/256891494/movie_max.mp4?t=1655123232"
411820,威尔·史密斯秀：FOO Show,2016/4/5,0,143,137,22,120,1,0,0,单人游戏，完全控制器支持，跟踪控制器支持，支持 VR,模拟，抢先体验,抢先体验，模拟，VR,159,86.16%,0,['英语'],“有时粗糙和笨拙，但史密斯的表演的潜力是巨大的”Kotaku “......它创造了一种真正身临其境的感觉。Famitsu “由于 The FOO Show 是英文的，我们的许多读者可能不会感兴趣” Famitsu,FOO VR 公司,FOO VR 公司,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/411820/header.jpg?t=1526092626,http://foovr.com,support@foovr.com,http://video.akamai.steamstatic.com/store_trailers/256662571/movie_max.mp4?t=1459840925
216130,双子座战争,2012/11/2,9.99,143,52,111,139,1,1,0,单人游戏，多人游戏，Steam 成就，Steam 集换式卡牌，家庭共享,独立，策略,4X，大战略，战争游戏，太空，战争，基地建设，实时，即时战略，太空模拟，策略，3D，俯视，剧情丰富，海战，模拟，科幻，战术，职业导向，外星人，单人,163,31.90%,0,['英语'， '德语'],“ ...在我看来，这是有史以来最好的游戏之一。90/100 – -war-review-pc/ “......这是进入 RTS / 4x 混合动力市场的坚实新入口。83/100 – 十三1 “双子座战争》是一款出色的太空策略游戏。”80/100 – -wars-评论,骆驼 101,骆驼 101,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/216130/header.jpg?t=1677683738,,support@camel101.com,http://video.akamai.steamstatic.com/store_trailers/2028086/movie_max.mp4?t=1447356984
1288420,The Secret of Retropolis,2021/7/21,9.99,142,155,10,139,1,0,0,单人游戏，Steam 成就，跟踪控制器支持，仅限 VR，家庭共享,冒险，独立,虚拟现实，点击式，侦探，黑色，冒险，故事丰富，解谜，6DOF，互动小说，复古，第一人称，多结局，手绘，动态叙述，有趣，叙述，风格化，漫画书，赛博朋克，卡通,165,93.94%,0,['英语'， '法语'， '德语'， '西班牙语 - 西班牙'， '日语'， '韩语'， '简体中文'],“Peanut Button 不是一个普通的独立 VR 工作室，Retropolis 不仅仅是另一个 VR 游戏，也许独立 VR 的世界已经永远改变了。”VRscout “The Secret of Retropolis 很有趣，身临其境，而且故事很精彩。它还易于访问，并具有非常智能的 UX 解决方案。The Ghost Howss “在某些情况下，很难否认游戏是一件艺术品——新发布的 VR 游戏 The Secret of Retropolis 就是其中之一。”COG已连接,花生纽扣,花生纽扣,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1288420/header.jpg?t=1722782081,https://peanutbutton.net/retropolis,peanutbuttonmedia@gmail.com,"http://video.akamai.steamstatic.com/store_trailers/256843372/movie_max.mp4?t=1626887460,http://video.akamai.steamstatic.com/store_trailers/256824518/movie_max.mp4?t=1615210856"
1599330,野性驯者,2023/9/28,24.99,142,1291,196,1308,1,0,0,单人游戏，多人，合作，在线合作，Steam 成就，Steam 集换式卡牌，部分控制器支持，Steam 云，家庭共享,冒险，独立，模拟，策略,3D，第三人称，角色扮演，模拟，农场模拟，策略，多人，单人，开放世界生存制作，基地建设，探索，生存，自然，农业，放松，制作，角色定制，动作冒险，故事丰富，冒险,1487,86.82%,0,['英语'， '法语'， '德语'， '日语'， '韩语'， '俄语'， '简体中文'， '繁体中文'， '西班牙语 - 西班牙'],“强迫性可玩” 4/5 – 铁杆游戏玩家 “我今年最喜欢的游戏之一。你可以拥抱青蛙。8.5/10 – Gamegrin “在被淹没的类型中提供独特的转折。”8/10 – GameLuster,缪斯游戏,夸利,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1599330/header.jpg?t=1723737143,https://wildmender.com/,feedback@musegames.com,"http://video.akamai.steamstatic.com/store_trailers/256979586/movie_max.mp4?t=1699891424,http://video.akamai.steamstatic.com/store_trailers/256972041/movie_max.mp4?t=1695915016,http://video.akamai.steamstatic.com/store_trailers/256963764/movie_max.mp4?t=1692194414,http://video.akamai.steamstatic.com/store_trailers/256946714/movie_max.mp4?t=1692196587"
734120,Bonbon,2017/10/24,1.01,141,164,65,150,1,0,0,单人游戏，Steam 成就，完全控制器支持，提供字幕，家庭共享,冒险，独立,独立，冒险，恐怖，短片，心理恐怖,229,71.62%,0,['英语'],“一个简短而聪明的家庭恐怖故事......它比大多数游戏更贴近家庭“ Rock Paper Shotgun ”我发现 Bonbon 是一种非常令人毛骨悚然和令人不安的体验，这正是我想要的恐怖游戏。那么我会推荐它吗？最肯定的是：如果你在万圣节深夜睡前有 30 分钟的空闲时间，那么这是一款完美的游戏。最令人愉快的消遣 “我一直无法把它从我的脑海中摆脱出来......[交付] 尽可能令人难忘，然后在我还在思考后果时结束......黑暗包含你最希望它不包含的东西，就在你不想看到它的时候......我经历过的最有效的 jumpscare。雅各布·盖勒,以太游戏,像素开发大赛,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/734120/header.jpg?t=1714573833,,miles@pixeljam.com,http://video.akamai.steamstatic.com/store_trailers/256697851/movie_max.mp4?t=1507992424
