名称,Name,游戏简介,About the game,媒体评价,Reviews
金星复仇,Venusian Vengeance,这一年是 196X，苏联赢得了太空竞赛。他们在金星上建立了一个研究殖民地，不受美国人的窥探。然而，美国人在他们自己的太空计划上也不甘落后。他们把你，约翰·达格尔中士，用一艘单人船送到金星。你的任务：揭开金星实验室中正在制造的苏联超级武器。包括一个全新的困难难度模式，具有更快的敌人和改变的遭遇战。特点 在各种类型的敌人中杀出一条血路，包括苏联士兵和金星生命体。获取苏联武器技术并使用它来对付他们。背叛忍者帝国。穿越多个环境，从苏联安全站到黑暗的洞穴，再到金星郁郁葱葱的丛林。欣赏以太空时代像素艺术呈现的金星郁郁葱葱的世界的辉煌。,"The year is 196X and the Soviets have won the space race. They've set up a research colony on Venus free from the prying eyes of the Americans. However, the Americans were not far behind with their own space program. They send you, Sgt. John Dagger, in a one-man vessel to Venus. Your mission: uncover the Soviet Super-Weapon being created in the Venusian Laboratory. Includes an all-new Hard difficulty mode with faster enemies and altered encounters. Features Fight your way through a variety of enemy types, including Soviet soldiers and Venusian lifeforms. Acquire Soviet weapons technology and use it against them. Betray the Ninja Empire. Travel across multiple environments, from Soviet security stations to dark caves to the lush jungles of Venus. Behold the glory of the lush world of Venus rendered in space-age pixel art.","“Venusian Vengeance 是一款经典的街机风格动作游戏,几乎包含了您对寻求模仿 1980 年代动作游戏的游戏所期望的一切”4/5 – Twinfinite",“Venusian Vengeance is a classic arcade-style action game packed with just about everything you’d expect from a game seeking to emulate 1980s action titles” 4/5 – Twinfinite
神秘岛归来2,Return to Mysterious Island 2,Mina 在第一场比赛结束时的营救被戏剧性地缩短了，她和灵长类动物朋友 Jep 再次被留在神秘的岛屿上自生自灭！Mina 需要包扎伤口并免受当地野生动物的侵害，但现在她得到了玩家控制的 Jep 的帮助，Jep 可以适应较小的空间，在丛林中灵巧地移动，甚至可以与其他动物交流以求生存。在整个岛屿上使用更多的物品组合，Mina 和 Jep 需要从他们的创伤环境中恢复过来，并找到另一种方法，无论如何，离开这个神秘的岛屿！,"Mina’s rescue from the end of the first game is cut dramatically short and she and primate pal Jep are left again on the mysterious island to fend for themselves! Mina needs to dress her wounds and keep safe against the local wildlife, but now she has the assistance of the player controlled Jep who can fit in smaller spaces, move deftly through the jungle and even communicate with other animals in their bid to survive. Using even more combinations of items throughout the island, Mina and Jep will need to recover from their traumatic circumstances and find another way, any way, off the mysterious island!","“缝合 Mina's Cut 保证是有史以来最令人难忘的库存拼图解决方案之一,追逐徘徊的美洲虎总是令人满意的。”70% – 冒险游戏玩家 “图形做得很漂亮。小动画提供一种感觉真实的氛围。户外环境郁郁葱葱、细节丰富、光线充足。有时,当我向太阳平移时,我的眼睛几乎被太阳的亮度弄痛了。79% – 游戏潮一代 “重返神秘岛 2：米娜的命运 是一次不错的体验,也是在浓郁的氛围中讲好故事的一个很好的例子。”80% – Adventure Classic 游戏","“Stitching up Mina’s cut is guaranteed to be one of the more memorable inventory puzzle solutions ever, and chasing off a prowling jaguar is always satisfying.” 70% – Adventure Gamers “The graphics are beautifully done. Small animations provide an ambiance that feels authentic. The outdoor settings are lush, detailed, and beautifully lit. At times my eyes almost hurt from the brightness of the sun as I panned toward it.” 79% – Game Boomers “Return to Mysterious Island 2: Mina's Fate is a decent experience and a great example of good storytelling in a rich atmosphere.” 80% – Adventure Classic Gaming"
Bonbon,Bonbon,Bonbon 是一个长达 30 分钟的第一人称家庭恐怖故事，讲述了您太小而无法理解的童年事件。扮演一个蹒跚学步的孩子，走路和搬运物品会很困难。你会掉下东西，你会摔倒。由于你的父母不在那儿接你，你会花时间和一个大个子、专横和模棱两可的访客在一起......一只名叫 Bonbon 的可怕的饥饿老鼠。您可以使用鼠标和键盘或 360 风格的游戏手柄进行游戏。请注意，该游戏是一个短暂的单人体验。完成需要 20 到 40 分钟，具体取决于您的游戏方式。,"Bonbon is a thirty-minute long, first-person domestic horror narrative about childhood events you are too young to understand. Playing as a young toddler, walking and carrying objects will be difficult. You will drop things, and you will fall over. Since your parents aren't there to pick you up, you'll be spending time with a large, overbearing and ambiguous visitor... a monstrous, hungry rat named Bonbon. You can play with mouse and keyboard, or a 360-style gamepad. Please note that the game is a short, single-sitting experience. It will take between 20 to 40 minutes to complete, depending on how you play.","“一个简短而聪明的家庭恐怖故事......它比大多数游戏更贴近家庭“ Rock Paper Shotgun ”我发现 Bonbon 是一种非常令人毛骨悚然和令人不安的体验,这正是我想要的恐怖游戏。那么我会推荐它吗？最肯定的是：如果你在万圣节深夜睡前有 30 分钟的空闲时间,那么这是一款完美的游戏。最令人愉快的消遣 “我一直无法把它从我的脑海中摆脱出来......[交付] 尽可能令人难忘,然后在我还在思考后果时结束......黑暗包含你最希望它不包含的东西,就在你不想看到它的时候......我经历过的最有效的 jumpscare。雅各布·盖勒","“a short, smart tale of domestic horror... that hit far closer to home than most” Rock Paper Shotgun “I found Bonbon to be an extremely creepy and unsettling experience, exactly what I want from a horror game. So would I recommend it? Most definitely: it’s the perfect game to play if you have 30 minutes free very late at night on Halloween, just before bed.” A Most Agreeable Pastime “I haven't been able to get it out of my head ... [delivers] as memorably as possible then conclude[s] while I'm still stewing over the ramifications ... The dark contain[s] the thing you most hope it doesn't, exactly when you don't want to see it ... the most effective jumpscare I've ever experienced.” Jacob Geller"
短鲭鱼突袭,Shutshimi,Shütshimi 是一款随机射击游戏，讲述了一条肌肉发达、记忆有问题的鱼保卫七大洋的故事。用你值得信赖的子弹变形霰弹枪武装起来，击败或穿越一波又一波的敌人，并在与游戏的每个 Boss 战斗时收集道具。但有一个问题（总是有一个问题）：你被诅咒的注意力持续时间非常短。战斗波和升级周期每件只持续 10 秒，所以你最好快点行动！但是等等，还有更多（信息）！鱼腥特色：无尽的海浪，无尽的乐趣！快速射击游戏！规则每 10 秒更改一次，因此请迅速做出反应！5 种不同的武器可供选择！超过 40 种升级等你来获得！将升级与不同的武器相结合，以获得有趣的组合！帽子！超过 30 个！大多数帽子都会解锁隐藏的“Hattributes”，从而进一步改变游戏玩法！完全支持键盘和控制器！随心所欲地玩，只要是这两个选项中的任何一个！你可以在水下抽烟！？排行榜！与朋友和敌人竞争全球最高分！本地合作！,"Shütshimi is a randomized shoot'em up about a muscle-bound fish with memory problems defending the seven seas. Armed with your trusty bullet-morphing shotgun, defeat or navigate through waves of enemies and collect powerups as you battle your way through each of the game's bosses. But there's a catch (there's always a catch): you've been cursed with an incredibly short attention span. Combat waves and upgrade cycles only last 10 seconds a piece, so you'd better act fast! But wait, there's more (information)! Fishy Features: Endless waves, endless fun! Rapid-fire gameplay! The rules change every 10 seconds, so react quickly! 5 different weapons to choose from! Over 40 upgrades to acquire! Combine upgrades with different weapons for interesting combinations! Hats! Over 30 of them! Most hats unlock hidden 'Hattributes' which modify gameplay even further! Full keyboard and controller support! Play any way you like, as long as it's either of these two options! You can smoke underwater!? Leaderboards! Compete with friends and foes for the global top score! Local Co-op!","“开发商 Neon Deity Games 对视频游戏平衡的强烈拒绝几乎可以称为前卫,但 Shutshimi 对高分的强调让人可以与 Galaga、Xevious、TwinBee 和 Fantasy Zone 等出色的街机游戏进行比较。”高度好评 – Slant 杂志 “这是一个充满欢笑和疯狂乐趣的无尽宝库......”高度积极 – IndieGames“Shutshimi 不是试图将自己归入特定的类型类别,而是旨在使现有的类型适合它。这是一个大胆的声明,但游戏开发者能够沉着冷静地完成它。A- – 游戏时代","“Developer Neon Deity Games' spirited rejection of video-game balance almost qualifies as avant garde, but Shutshimi's emphasis on high scores begs for comparisons to great arcade fare such as Galaga, Xevious, TwinBee, and Fantasy Zone.” Highly Positive – Slant Magazine “It's an unending treasure trove of laughter and frantic fun...” Highly Positive – IndieGames “Rather than trying to fit itself into a specific genre category, Shutshimi aims to make the existing genre fit around it. It's a bold statement to make, but it's one that the game's developers are able to pull off with aplomb.” A- – Gaming Age"
土豆侠寻找真相,Potatoman Seeks the Troof,Potatoman Seek the Troof 是一款具有挑战性的土豆平台冒险游戏，由经典史前赛车游戏 DINO RUN 的创造者 Pixeljam Games 推出。Potatoman 将考验您的反应能力和世界观，让您穿越炙热的沙漠、黑暗的森林、繁忙的城市、最高的山脉，并最终以您自己的土豆意识寻找最终答案。您准备好面对 TROOF 了吗？特色内容：令人筋疲力尽的挑战和有趣的视角。一个独特的故事，会让你质疑你对马铃薯的一切了解。松鼠！秃 鹰！猴子！星形四面体！特洛夫 人们对 Potatoman 的一些非常好的说法： Potatoman 会让你高兴、惊喜和挑战。我在他的小冒险中玩得很开心，我知道将来我会重玩很多次。结局太棒了！一定要一直玩到最后。~James Kochalka，美国精灵 Potatoman 是一款很棒的一口大小的平台游戏，它既有趣又疯狂。~Northernlion，Youtube 不错，令人上瘾的乐趣，在关卡记忆和手眼协调之间取得了很好的平衡。,"Potatoman Seeks the Troof is a challenging potatosophical platforming adventure from Pixeljam Games, creator of the classic prehistoric racer DINO RUN. Potatoman will put your reflexes and worldview to the test as you journey through scorching deserts, dark forests, busy cities, the tallest mountains and eventually your own potato-consciousness in search of the ultimate answer. Are you prepared to face the TROOF? Featuring: Bone-breaking challenges and intriguing perspectives. A unique story that will make you question everything you knew about potatoes. Squirrels! Vultures! Monkeys! Star Tetrahedrons! The Troof Some very nice things people have said about Potatoman: Potatoman will delight, surprise, and challenge you. I had so much fun playing through his little adventure, and I know I’ll replay it many times in the future. And the ending is amazing! Definitely play all the way to the end. ~James Kochalka, American Elf Potatoman is an awesome bite-sized platformer that is as fun as it is, well, insane. ~Northernlion, Youtube Good, addictive fun, with a nice balance between level-memorization and hand-eye coordination.","“结论很美,它使用了游戏机制,让玩家感到能力的丧失。通过让旧的障碍突然变得不可能,它向玩家展示了将自己屈服于不断侵入的必然性,放弃并拥抱即将发生的事情是什么感觉。纯粹的诡辩 “Potatoman Seek the Troof 是一次非常值得拥有的体验。它充满了巧妙的写作和魅力,更不用说外观和配乐在搔痒怀旧之痒方面做得非常出色。Gamezebo “说真的,Potatoman 拥有电子游戏史上最好的跳跃。”皮尤迪派","“The conclusion is beautiful in its use of game mechanics to make the player feel a loss of ability. By making old obstacles suddenly seem impossible, it shows the player what it feels like to surrender oneself to encroaching inevitability, to just give up and embrace what’s coming.” Pure Sophistry “Potatoman Seeks the Troof is an experience well worth having. It’s teeming with clever writing and charm, not to mention an appearance and soundtrack that do a fantastic job of scratching that nostalgia itch.” Gamezebo “Potatoman has the best jump in the history of video games, seriously.” PewDiePie"
Tunche,Tunche,探索令人叹为观止的亚马逊森林Tunche 是一款迷人的手绘格斗游戏，具有 Roguelike 元素。穿越 4 个世界，每个世界都充满了独特的敌人、Boss、挑战和故事。在合作游戏中玩 单人游戏或与最多 3 位朋友一起参加本地合作游戏，揭开森林的神秘面纱和 Tunche 的秘密！从备受赞誉的A Hat In Time中选择五个独特角色之一：Rumi，女巫Rumi，音乐家Pancho，鸟男孩Qaru，战士Nayra和帽子小子。掌握不同的技能 要战胜亚马逊森林的邪恶野兽，您将不得不学习技能和终极能力，这将使您在每次游戏过程中进一步了解故事。,"EXPLORE THE BREATHTAKING AMAZONIAN FORESTS Tunche is a charming, hand-drawn beat'em up hack and slash game with roguelike elements. Travel through 4 worlds, each filled with unique enemies, bosses, challenges, and stories. PLAY IN CO-OP Play solo or join up to 3 of your friends in a local co-op session to uncover the mystery of the forest and the secrets of Tunche! FIND YOUR OWN PLAYSTYLE Choose one of the five unique characters: Rumi, the sorceress, Pancho the musician, Qaru the bird boy, Nayra the warrior &amp; Hat Kid from the highly acclaimed A Hat In Time. MASTER THE DIFFERENT SKILLS To overcome the evil beasts of Amazonian forests you will have to learn the skills and ultimate abilities, that will take you further through the story with each playthrough.","“虽然我被 Tunche 独特、令人耳目一新的艺术所吸引,但真正吸引人的是战斗” PC Gamer “像这样令人印象深刻的作品值得更多认可” Hardcore Gamer “游戏具有非常吸引人的艺术风格” Destructoid","“While I was drawn to Tunche by its unique, refreshing art, it was the combat that really set the hook” PC Gamer “Impressive work like this deserves more recognition” Hardcore Gamer “The game has a really fetching art style” Destructoid"
Adam Wolfe,Adam Wolfe,踏入超自然现象调查员 Adam Wolfe 的鞋子。在姐姐神秘失踪的驱使下，踏上旧金山阴郁的街道，犯罪和超自然事件交织在黑暗的角落里。解开一个又一个谜团，慢慢揭开一个更大的阴谋，这个阴谋可能会引导你找到你失踪的兄弟姐妹，但也可能会把你永远拖入深渊。在这款心理惊悚游戏中，运用你的智慧、侦探的直觉，当一切都失败时，用你的六连发游戏，体验超过 8 小时的挑战性游戏。秘密社团、非自然的苦难和古老的契约在 Adam Wolfe 激动人心的 4 集中等待着您！成为侦探。成为 Wolfe。53 个独特的地点、崇高的艺术作品、诱人的故事情节、独特的破案机制、巧妙的谜题、四个错综复杂的谜团！我们被称为 Mad Head Games 并非浪得虚名。我们已经为休闲 HOPA 市场制作了超过 18 款游戏，并引领了该类型的革命和发展。我们已经成长、扩张并享受了如此惊人的成功，我们应该非常高兴地满足于我们的成就，为我们曾经的辉煌干杯。然而。。。然而，我们并不满足。甚至没有接近。疯狂的世界即将变得更加疯狂！,"Step into the shoes of Adam Wolfe, investigator of the supernatural. Driven by your sister’s mysterious disappearance, take to the brooding streets of San Francisco, where crime and paranormal occurrences intertwine in dark corners. Solving one mystery after another, slowly unravel a larger conspiracy that could lead you to your missing sibling, but may also drag you into the abyss forever. Use your wits, your detective instincts and, when all else fails, your six-shooter in this psychological thriller packed with more than 8 hours of challenging gameplay. Secret societies, unnatural afflictions and ancient covenants await you in Adam Wolfe's exciting 4 episodes! Become the Detective. Become Wolfe. 53 unique locations sublime artwork tantalizing storyline unique case-solving mechanics clever puzzles four convoluted mysteries! We’re not called Mad Head Games for nothing. We’ve made over 18 games for the casual HOPA market and have spearheaded a kind of revolution and evolution of the genre. We’ve grown, expanded and enjoyed such astounding success that we should be more than happy simply to rest on our laurels and toast our former glory. However… However, We’re Not Content. Not Even Close. The Mad World Is About to Get Even Madder!","“在益智游戏中,我最不希望做的就是掏出手枪,与燃烧的元素进行枪战。像这样的时刻就是 Adam Wolfe 的闪光点——为了吸引玩家并使游戏脱颖而出,Adam Wolfe 走出了这一类型。加载游戏“Mad Head Games 创造了一个互动、充满悬念、神秘的系列,肯定会吸引玩家。”GameSkinny “Adam Wolfe 的第一集 The Ancient Flame 在融入恐怖类型方面做得非常出色,它有恰到好处的微妙悬念、令人毛骨悚然的故事和巧妙的谜题来完善整个体验。”游戏喷泉","“The last thing I expected to do in a puzzle game was pull out a pistol and engage in a shootout with a burning elemental. Moments like this are where Adam Wolfe shines – in order to engage the player and make the game stand out, Adam Wolfe steps out of its genre.” Load The Game “Mad Head Games has created an interactive, suspense filled, mystery series sure to draw in players.” GameSkinny “Adam Wolfe’s first episode, The Ancient Flame, does a fantastic job of fitting into the horror genre with just the right amount of subtle suspense, creepy story, and clever puzzles to round out the whole experience.” GameSpew"
BangBang PewPew,BangBang PewPew,BangBang PewPew 是一款基于技能的光枪射击游戏。大型出版商多年来一直忽视这一类型，因此我们接过了火炬！BangBang PewPew 提供 25+ 光枪射击挑战。我们创造了独特的原创挑战，将这一类型推向新的方向，如无限奔跑、驾驶和持枪冰壶。我们还更新和重新设计了许多经典游戏：双向飞碟射击、运动射击和轨道战斗。BangBang PewPew 在 Kickstarter 上成功筹集资金，现已在 Steam 上推出。BangBang PewPew 专为光枪打造，也支持鼠标输入。我们强烈推荐使用光枪，它已经在 Sinden Lightgun、Aimtrak、AE Lightgun 和 Gun4IR 上进行了测试。初始版本 25 挑战中的功能。独特的射击挑战，例如用光枪无限奔跑、用光枪驾驶或用枪玩扑克。觉得冰壶很无聊？放下你的扫帚，拿起光枪！离线挑战您的朋友，即使您只有一把光枪。在我们独特的驾驶和冰壶迷你游戏中竞争，或与朋友一起在回合制多人游戏中尝试所有 25 项挑战。10 种武器。超过 25 种目标类型。在线竞争以解锁成就并一路奋战，登上排行榜的顶端。加载您自己的自定义图像以拍摄您想要的任何人。10 个独特的拍摄环境。在开车、跳过屋顶或在狩猎架上放松时炸毁你的敌人。使用 Remote Play Together 在线挑战您的朋友。即将推出的功能：提供免费内容更新的在线挑战活动。恐怖 DLC“黑玫瑰之影”计划于 2022 年万圣节发布。狩猎 DLC。还有更多 DLC 即将推出！,"BangBang PewPew is a skill-based lightgun shooter. Large publishers have ignored this genre for years so we are picking up the torch! BangBang PewPew features 25+ lightgun shooting challenges. We have created unique original challenges that push the genre in new directions like infinite running, driving and curling with a gun. We have also updated and redesigned many of the classics: skeet shooting, sport shooting and on-rails combat. BangBang PewPew was successfully funded on Kickstarter and is available now on Steam. BangBang PewPew is built from the ground-up for lightguns and it supports mouse input as well. We strongly recommend a lightgun and it has been tested on the Sinden Lightgun, Aimtrak, AE Lightgun and Gun4IR. Features in the Initial Release 25 challenges. Unique shooting challenges like infinite running with a lightgun, driving with a lightgun over your wheel or poker with a gun. Think curling's boring? Put down your broom and pick up a lightgun! Challenge your friends offline, even if you just have one lightgun. Compete in our unique driving and curling minigames or try all 25 challenges in turn-based multiplayer with friends. 10 Weapons. More than 25 target types. Compete online to unlock achievements and fight your way to the top of the leaderboards. Load up your own custom images to shoot whoever you want. 10 unique shooting environments. Blast your enemies while driving, jumping across rooftops or relaxing in a hunting stand. Challenge your friends online using Remote Play Together. Upcoming Features Online challenge events with free content updates. Horror DLC 'Shadow of the Black Rose' scheduled for release by Halloween 2022. Hunting DLC. Plus more DLC to come!","“我真的印象深刻。他无疑将光枪游戏技术提升到了另一个层次。这有很多策略,所以我想说他肯定重新定义了这一类型。总而言之,这个包中的一切都很有趣。你不会感到无聊。这里有数小时的游戏。我从来没有见过这样的事情。如果你们喜欢光枪游戏,那么这绝对是你收藏中需要的东西。太棒了！Kio Diekin：“它比测试版变得更好了。品种极好。Drew Talks “如果你喜欢像 Police Trainer 和 Time Crisis 这样的经典街机射击游戏,或者即使你像我一样是老学校游戏玩家,并且你喜欢像任天堂的 gumshoe 这样的游戏机游戏,那么你肯定会喜欢 BangBang PewPew。”OleSchool 游戏玩家","“I’m really impressed. He’s definitely taking lightgun game technology to another level. This has a lot of strategy to it so I would say that he has definitely redefined the genre. All in all, everything in this package is fun. You won’t get bored. There’s hours upon hours of gameplay here. I’ve never seen anything like this. If you guys are into lightgun games, this is something you definitely need to have in your collection. It’s great!” Kio Diekin “It’s gotten lightyears better from the beta build. Excellent variety.” Drew Talks “If you like classic arcade shooters like police trainer and time crisis or even if you’re an ole school gamer like me and you love consoles games like gumshoe for Nintendo, then you’re definitely going to love BangBang PewPew.” OleSchool Gamers"
锋刃对决,Strikers Edge,Strikers Edge 是一款中世纪躲避球，拥有武器、古代战士和特殊能力。在本地多人游戏中挑战你的对手，登上阶梯的顶端，成为最好的前锋！DODGEBRAWL ： Strikers Edge 是一款躲避斗殴游戏！使用任何需要的手段将你的敌人从裂缝的你这边拉下来。GIT GUD ： 准确把握准度，预测敌人的轨迹，并在心理上占据上风以業灭对手！PICK UP &amp; MASTER ： 每个前锋都有自己的一套能力、武器、统计数据和玩法。你会选择并掌握哪一个？在 8 个独特的前锋中进行选择，每个前锋都有自己的能力、游戏风格和策略。在 4 个具有不同布局、障碍和危险的不同竞技场中进行选择，以添加到您的策略中。在各自的单人战役中揭开角色的背景故事。易学难精：选择您最喜欢的前锋，准备好发现他所有隐藏的机制、连击和细微差别。Strikers Edge 将心理游戏放在首位和中心。预测你的对手的动作，用你的动作让他们大吃一惊！Twitch 集成 ：主播将能够在玩游戏时与他们的观众互动：观众可以成为游戏中人群的一员，向玩家欢呼或嘘声，为比赛修改器投票等等！,"Strikers Edge is a medieval dodgeball with weapons, ancient warriors and special powers. Challenge your opponents in local multiplayer, ascend to the top of the ladder and become the best striker! DODGEBRAWL : Strikers Edge is a game of dodgebrawl! Use whatever means it takes to bring your foe down from your side of the rift. GIT GUD : Get your accuracy on point, anticipate your enemies’ trajectories and get the psychological upper hand to annihilate the opposition! PICK UP &amp; MASTER : Each striker has its own set of abilities, weapon, stats and playstyles. Which one will you choose and master? Choose among 8 unique strikers , each with it's set of abilities, play style and strategies. Select between 4 different arenas with distinct layouts, obstacles and hazards to add to your strategy. Uncover the characters’ background stories in their respective single player campaigns . Easy to learn, hard to master : pick your favorite striker and get ready to discover all his hidden mechanics, combos and nuances. Strikers Edge puts mind games front and center. Predict your opponents moves and surprise them with yours! Twitch Integration : Streamers will be able to interact with their audience when playing: viewers can become a member of the crowd inside the game, throw cheer or boo at the players, vote for match modifiers and more!",“Strikers Edge 是一款极好的中世纪躲避球游戏” Rock Paper Shotgun “Strikers Edge 是一款有趣但技术性的沙发游戏的精髓” -le-radar-3-slay-the-spire-children-of-morta-brawlhalla/788530.htm,"“Strike Suit Infinity takes the best moments from Zero (the combat) and cranks it to eleven for an addicting and intense high score chasing shoot ‘em up.” 8.5/10 – Select Button “An absolutely great way to marvel at space and its beauty while blowing the crap out of some big, hunking space ships for that ever-so-tasty high score.” 7.5/10 – Destructoid “The bottom line, as you might expect, is that this is a visually rich combat simulator that brings a lot of arcade-style pleasure to the table.” 82/100 – GamingTrend"
战列巡洋舰,Battlecruisers,Battlecruisers 是一款手绘的 2D 横向卷轴游戏，背景设定在 28 世纪，当时地球被不断上升的海平面淹没，敌人争夺后退的陆地。建造、制定战略、攻击和防御以征服你的军事敌人并收割他们的战舰和武器。人类早已不复存在，我们的机器人后代鲁莽、胡说八道、渴望权力。你扮演查理，一个投机取巧的多功能机器人，他驾驶一艘无人看管的三叉戟级战列舰在港口周围快速旋转。唯一的问题是：它属于世界上最大的超级大国。武装并保卫您的巡洋舰，否则就会沉入水深处。随着每场胜利而扩大你的武器库，积累护卫舰、大炮、轰炸机、激光、隐形发电机等等。用盾牌和助推器加强你的防御，用建造无人机大军提高你的生产速度。用凝固汽油弹、核发射器和实验性超级武器造成严重破坏，包括死星卫星、Ultralisk 快速制造设施和神风特攻队信号。作为自封的战列巡洋舰舰长，您负责实时战斗的设计、建造、资源配置和战略方法。用狡猾的战术正面迎战邪恶的 AI 敌人，或者面临死于 Huntress、Destruktor 和 Karen 等凶残军用机器人之手的必死之战。解锁 30+ 建筑和单位，成为战列舰指挥官大师，最终与终极军事超级大国的领袖 Presidentron 对决。从你的致命武器库中选择最好的武器，并以技巧部署它们以赢得比赛。主要特点 建造终极战列巡洋舰，战略性地攻击和摧毁敌方战舰。从基本要素开始，随着技能的发展解锁新的和令人惊讶的技术。制定自己独特的策略来击败机器人敌人。您必须小心翼翼才能在最困难的难度下击败最高级别。探索一个后世界末日的世界，那里的海洋上升已经淹没了陆地。战斗发生在漂浮的金属城市的背景下;向人类的伟大地标致敬。爱上令人惊叹的手绘艺术。由痴迷于爆炸的艺术家设计，粒子系统生成意味着您永远不会看到两次相同的爆炸。沉迷于令人上瘾的配乐。情绪动态的音乐与每场战斗的动作和平静无缝匹配，营造出密集的游戏玩法。关于 Mecha Weka我们是来自新西兰奥克兰的一个小团队。我们在业余时间创造了 Battlecruisers，因为对具有极简主义风格的爆炸性 RTS 的热爱。自 2021 年游戏推出以来，我们正在积极添加功能、武器、机制和游戏模式，例如 PVP 多人游戏。,"Battlecruisers is a hand-drawn, 2D sidescroller set in the 28th century, when Earth is flooded by rising sea levels and foes compete for receding spits of land. Build, strategize, attack, and defend to conquer your military enemies and harvest their warships and weaponry. Humans are long gone, and our robot descendants are reckless, trash-talking, and power-hungry. You play Charlie, an opportunistic utility robot who takes an unattended Trident-class battleship for a quick spin around the harbor. The only problem: it belongs to the world’s greatest superpower. Arm and defend your cruiser or be sunk to the watery depths. Grow your arsenal with each victory, accruing frigates, artillery, bombers, lasers, stealth generators, and more. Reinforce your defense with shields and boosters, and enhance your production speed with an army of builder drones. Wreak havoc with napalm, nuke launchers, and experimental ultra-weapons, including the Death Star Satellite, the Ultralisk Rapid Fabrication Facility, and the Kamikaze Signal. As a self-appointed battlecruiser captain, you’re in charge of the design, building, resourcing, and strategic approach in real time battles. Meet the diabolical AI enemy head-on with cunning tactics or face certain death at the hands of murderous military robots like Huntress, Destruktor, and Karen. Unlock 30+ buildings and units as you become a master battleship commander, culminating in a showdown with Presidentron, the leader of the ultimate military superpower. Select the best weapons from your deadly arsenal and deploy them with skill to win the game. Key Features Build the ultimate battlecruiser to strategically attack and destroy enemy warships. Start with the essentials and unlock new and surprising technology as your skills evolve. Develop your own unique strategy to take down the robot enemies. You’ll have to be devious to beat the highest levels on hardest difficulty. Explore a post-apocalyptic world where rising oceans have submerged the land. Battles take place against a backdrop of floating metal cities; homages to humanity’s great landmarks. Fall in love with the stunning hand-drawn art. Designed by an explosion-obsessed artist, the particle system generation means you’ll never see the same blast twice. Get hooked on the addictive soundtrack. The mood-dynamic music seamlessly matches the action and lulls of each battle to create intensive gameplay. About Mecha Weka We’re a tiny team from Auckland, New Zealand. We created Battlecruisers in our spare time for the love of explosive RTS with a minimalist twist. We are actively adding features, weapons, mechanics, and game modes such as PVP Multiplayer since the game launched in 2021.","“凭借优雅的剪影船只和巨大逼真的爆炸,《战列巡洋舰》是一款罕见的完全成型且高度可玩的游戏......如果您曾经喜欢过即时战略游戏,您应该立即下载它。9/10 – Metro UK “我已经很久没有在游戏中享受如此多的乐趣了。”4.5 个 GiN Gem（满分 5 个）– 游戏行业新闻","“With elegant silhouetted ships and huge, realistic-looking explosions, Battlecruisers is that rarity of a fully formed and highly playable game... If you’ve ever enjoyed a real-time strategy game you should waste no time in downloading this.” 9/10 – Metro UK “It has been a long time since I have had so much fun with a game.” 4.5 GiN Gems (out of 5) – Game Industry News"
